"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"58-C9","8","C4","control.big","untreated forager",0,1,1,2
"58-D10","8","D5","control.big","untreated nurse",0,1,1,2
"58-D5","8","B9","control.big","untreated forager",1,1,0,2
"58-D6","8","D1","control.big","untreated nurse",1,1,0,2
"58-D9","8","D4","control.big","untreated forager",1,1,0,2
"58-E10","8","E5","control.big","untreated forager",1,1,1,3
"58-E11","8","E6","control.big","untreated nurse",1,1,0,2
"58-E12","8","E7","control.big","untreated forager",1,1,0,2
"58-E5","8","C9","control.big","untreated forager",1,1,1,3
"58-E9","8","E4","control.big","untreated nurse",1,1,1,3
"58-F10","8","F5","control.big","untreated forager",1,1,0,2
"58-F12","8","F7","control.big","untreated forager",1,1,0,2
"58-F7","8","F2","control.big","untreated forager",1,1,0,2
"58-F8","8","F3","control.big","untreated nurse",1,1,1,3
"58-F9","8","F4","control.big","untreated nurse",0,1,1,2
"58-G11","8","G6","control.big","untreated nurse",1,1,0,2
"58-G12","8","G7","control.big","untreated nurse",1,1,0,2
"58-G6","8","F1","control.big","untreated forager",0,1,1,2
"58-G7","8","G2","control.big","treated nurse",0,1,1,2
"58-G9","8","G4","control.big","untreated forager",0,1,1,2
"58-H11","8","H6","control.big","untreated nurse",0,1,1,2
"58-H12","8","H7","control.big","untreated forager",1,1,0,2
"58-H5","8","F9","control.big","untreated forager",1,1,1,3
"58-H8","8","H3","control.big","untreated nurse",1,1,0,2
"58-H9","8","H4","control.big","treated nurse",0,1,1,2
"59-A10","7","A10","control.big","untreated nurse",0,1,1,2
"59-A11","7","A11","control.big","untreated forager",0,1,1,2
"59-A12","7","A12","control.big","untreated forager",1,1,0,2
"59-A3","7","A3","control.big","untreated nurse",1,1,0,2
"59-A4","7","A4","control.big","untreated nurse",0,1,1,2
"59-A7","7","A7","control.big","untreated nurse",1,1,1,3
"59-B12","7","B12","control.big","untreated nurse",1,1,0,2
"59-B8","7","B8","control.big","untreated nurse",1,1,0,2
"59-C1","7","C1","control.big","untreated forager",1,1,0,2
"59-C10","7","C10","control.big","untreated forager",1,1,0,2
"59-C11","7","C11","control.big","untreated forager",1,1,0,2
"59-C12","7","C12","control.big","untreated nurse",1,1,0,2
"59-C2","7","C2","control.big","untreated nurse",1,1,0,2
"59-C4","7","C4","control.big","treated nurse",1,1,0,2
"59-C8","7","C8","control.big","untreated nurse",1,1,0,2
"59-D10","7","D10","control.big","untreated forager",1,1,0,2
"59-D11","7","D11","control.big","untreated forager",0,1,1,2
"59-D12","7","D12","control.big","untreated nurse",1,1,0,2
"59-D5","7","D5","control.big","untreated nurse",1,1,1,3
"59-E2","7","E2","control.big","untreated nurse",1,1,1,3
"59-E5","7","E5","control.big","untreated nurse",1,1,0,2
"59-F11","7","F11","control.big","untreated forager",1,1,0,2
"59-F12","7","F12","control.big","untreated nurse",1,1,0,2
"59-F3","7","F3","control.big","untreated forager",0,1,1,2
"59-F4","7","F4","control.big","untreated nurse",1,1,1,3
"59-F6","7","G6","control.big","untreated forager",1,1,0,2
